pdf_file,page,annot_type,rect_x0,rect_y0,rect_x1,rect_y1,contents,info_title,info_subject,info_content
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",494.0,134.0,505.0,151.0,,AutoCAD SHX Text,,115
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",414.0,275.0,425.0,293.0,,AutoCAD SHX Text,,129
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",535.0,85.0,546.0,103.0,,AutoCAD SHX Text,,136
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",521.0,75.0,532.0,93.0,,AutoCAD SHX Text,,137
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",483.0,47.0,494.0,65.0,,AutoCAD SHX Text,,138
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",462.0,39.0,473.0,57.0,,AutoCAD SHX Text,,139
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",440.0,35.0,451.0,53.0,,AutoCAD SHX Text,,140
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",456.0,80.0,467.0,96.0,,AutoCAD SHX Text,,141
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",433.0,134.0,444.0,152.0,,AutoCAD SHX Text,,148
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",432.0,107.0,443.0,125.0,,AutoCAD SHX Text,,142
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",430.0,158.0,441.0,175.0,,AutoCAD SHX Text,,149
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",430.0,175.0,441.0,193.0,,AutoCAD SHX Text,,147
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",430.0,196.0,441.0,213.0,,AutoCAD SHX Text,,146
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",397.0,176.0,408.0,194.0,,AutoCAD SHX Text,,150
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",398.0,135.0,409.0,151.0,,AutoCAD SHX Text,,151
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",348.0,138.0,359.0,156.0,,AutoCAD SHX Text,,154
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",368.0,220.0,379.0,238.0,,AutoCAD SHX Text,,152
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",386.0,203.0,397.0,221.0,,AutoCAD SHX Text,,153
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",360.0,172.0,371.0,190.0,,AutoCAD SHX Text,,155
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",340.0,123.0,351.0,141.0,,AutoCAD SHX Text,,156
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",378.0,84.0,389.0,102.0,,AutoCAD SHX Text,,144
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",406.0,89.0,417.0,107.0,,AutoCAD SHX Text,,143
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",367.0,104.0,378.0,122.0,,AutoCAD SHX Text,,145
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",-3.0,391.0,7.0,409.0,,AutoCAD SHX Text,,157
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",33.0,354.0,44.0,372.0,,AutoCAD SHX Text,,158
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",74.0,382.0,85.0,399.0,,AutoCAD SHX Text,,159
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",118.0,345.0,129.0,363.0,,AutoCAD SHX Text,,174
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",81.0,312.0,92.0,330.0,,AutoCAD SHX Text,,160
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",111.0,280.0,122.0,296.0,,AutoCAD SHX Text,,161
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",114.0,222.0,125.0,240.0,,AutoCAD SHX Text,,162
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",121.0,255.0,130.0,270.0,,AutoCAD SHX Text,,163
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",137.0,262.0,146.0,276.0,,AutoCAD SHX Text,,164
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",149.0,261.0,159.0,276.0,,AutoCAD SHX Text,,178
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",177.0,177.0,188.0,193.0,,AutoCAD SHX Text,,181
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",175.0,438.0,186.0,456.0,,AutoCAD SHX Text,,167
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",183.0,539.0,194.0,557.0,,AutoCAD SHX Text,,166
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",159.0,494.0,170.0,512.0,,AutoCAD SHX Text,,168
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",128.0,530.0,139.0,548.0,,AutoCAD SHX Text,,169
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",156.0,431.0,167.0,449.0,,AutoCAD SHX Text,,173
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",112.0,429.0,123.0,447.0,,AutoCAD SHX Text,,172
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",23.0,434.0,34.0,452.0,,AutoCAD SHX Text,,170
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",164.0,338.0,175.0,356.0,,AutoCAD SHX Text,,175
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",156.0,305.0,167.0,322.0,,AutoCAD SHX Text,,176
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",50.0,333.0,60.0,351.0,,AutoCAD SHX Text,,159.1
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",74.0,339.0,84.0,359.0,,AutoCAD SHX Text,,159.2
