swmm_conduit_id,excel_pipe_id,upstream_node,downstream_node,diameter_in,shape,length_ft,slope_ftft,invert_in_ft,invert_out_ft,losses,confidence,inferred_flag,notes
C029,,J006,J006,30.0,CIRCULAR,606.0,0.0014343249511094493,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C030,,J003,J006,24.0,CIRCULAR,826.0,0.002355473574829647,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C031,,J002,J003,24.0,CIRCULAR,943.0,0.0023193323920727826,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C032,,J001,J002,24.0,CIRCULAR,176.0,0.0012437804074116388,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C033,,J005,J006,24.0,CIRCULAR,519.0,0.0005160759621171332,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C034,,J004,J005,18.0,CIRCULAR,214.0,0.0005677786214417208,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C035,,J007,J007,18.0,CIRCULAR,300.0,0.00012306691060255277,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C036,,J008,J009,18.0,CIRCULAR,291.0,0.0001540246627713902,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C037,,J013,J015,18.0,CIRCULAR,264.0,0.00012683876602095722,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C038,,J012,J013,18.0,CIRCULAR,356.0,5.9944302688657946e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C039,,J014,J015,18.0,CIRCULAR,76.0,6.0423139576285175e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C040,,J026,J029,30.0,CIRCULAR,189.0,0.0007260097016881408,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C041,,J025,J026,30.0,CIRCULAR,227.0,0.0006434145820901874,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C042,,J023,J025,30.0,CIRCULAR,114.0,0.0006039119875159827,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C043,,J021,J023,30.0,CIRCULAR,251.0,0.0004723406856154623,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C044,,J020,J021,24.0,CIRCULAR,658.0,0.0012941741811374808,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C045,,J018,J020,24.0,CIRCULAR,230.0,0.0007696379681248123,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C046,,J016,J018,18.0,CIRCULAR,649.0,0.002572731255438888,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C047,,J017,J018,18.0,CIRCULAR,183.0,0.0009660949224510852,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C048,,J019,J020,18.0,CIRCULAR,72.0,0.0005093736959496098,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C049,,J022,J023,24.0,CIRCULAR,146.0,8.442983330919392e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C050,,J024,J025,24.0,CIRCULAR,73.0,1.0205692120701359e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C051,,J028,J029,24.0,CIRCULAR,113.0,0.0015005306735200096,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C052,,J027,J028,24.0,CIRCULAR,350.0,0.0012659894884960376,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C053,,J027,J027,24.0,CIRCULAR,176.0,0.0004138569855481956,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C054,,J030,J031,24.0,CIRCULAR,109.0,6.786125349134615e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C055,,J034,J035,18.0,CIRCULAR,304.0,0.0007416033908325372,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C056,,J032,J034,18.0,CIRCULAR,278.0,0.00026084863889872445,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C057,,J033,J034,18.0,CIRCULAR,96.0,0.00014509283493585224,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C058,,J036,J037,18.0,CIRCULAR,40.0,0.0005392120099172952,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C059,,J038,J039,18.0,CIRCULAR,156.0,0.00029702393016890196,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C060,,J041,J042,18.0,CIRCULAR,107.0,0.001851969551016599,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C061,,J040,J041,18.0,CIRCULAR,531.0,0.0007424796416033279,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C062,,J050,J051,24.0,CIRCULAR,470.0,0.00039887604992822144,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C063,,J049,J051,24.0,CIRCULAR,38.0,0.0026145550006830116,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C064,,J048,J049,24.0,CIRCULAR,540.0,0.0015645726807153157,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C065,,J046,J048,18.0,CIRCULAR,750.0,0.0021864560112225336,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C066,,J045,J046,18.0,CIRCULAR,50.0,0.0019477598332695632,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C067,,J044,J045,18.0,CIRCULAR,455.0,0.0009853091360324487,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C068,,J043,J044,18.0,CIRCULAR,476.0,0.00036959384570395964,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C069,,J047,J048,24.0,CIRCULAR,14.0,0.0016112464654520146,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C070,,J050,J051,24.0,CIRCULAR,470.0,0.00039887604992822144,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C071,,J052,J053,24.0,CIRCULAR,134.0,0.00048553477270726626,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C072,,J055,J057,18.0,CIRCULAR,686.0,0.0007293504667081775,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C073,,J061,J062,30.0,CIRCULAR,216.0,0.0007902978432782613,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C074,,J065,J065,18.0,CIRCULAR,369.0,0.004088462129171167,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C075,,J065,J065,18.0,CIRCULAR,362.0,0.0013455712020827443,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
